品牌,车系,排量与年份,机滤,空调滤,空气滤,机油
,帕杰罗劲畅,2011-2014 - 3.0L,马勒 ￥17.0,三效空调滤清器 ￥79.0,,美孚 美孚1号 0W-40 ￥460.0
,,,曼牌 Mann ￥24.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,
三菱(进口),蓝瑟,2004.03-2014 - 2.0 T,马勒 ￥25.0,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2006.01-2014 - 2.0 T,马勒 ￥25.0,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,汉格斯特 Hengst ￥27.0,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2009.06-2014 - 1.5L,曼牌 Mann ￥24.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥213.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,,四效空调滤清器 ￥129.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,欧蓝德,2010.01-2014 - 2.0L,马勒 ￥17.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥213.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥25.0,四效空调滤清器 ￥129.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2007.09-2014 - 2.4L,马勒 ￥17.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥213.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥25.0,四效空调滤清器 ￥129.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,2006.11-2014 - 3.0L,马勒 ￥17.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥213.0,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥25.0,四效空调滤清器 ￥129.0,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,曼牌 Mann ￥24.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,帕杰罗,"劲畅
- 2012.01-2015 - 3.0L",马勒 ￥25.0,三效空调滤清器 ￥79.0,,壳牌 黄喜力HX5 10W-40 ￥177.0
,,,汉格斯特 Hengst ￥25.0,,,嘉实多 金嘉护 SN 10W-40 ￥207.0
,,,汉格斯特 Hengst ￥27.0,,,海湾 Gulf 金标蓝极润 SN 10W-40 ￥276.0
,,,曼牌 Mann ￥24.0,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,曼牌 Mann ￥24.0,,,嘉实多 磁护 SN 5W-30 ￥387.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,
双龙(进口),柯兰多,2014.8-2015 - 2.0L,,,,美孚 美孚1号 0W-40 ￥460.0
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥546.0
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥538.0
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥301.0
,,,,,,嘉实多 磁护 SN 5W-30 ￥387.0
,雷斯特,2004.08-2014 - 2.7d,暂无配件,暂无配件,暂无配件,暂无配件
